Famille;Genre;Espece;peu_profond;moyennement_profond;profond;largeur;rapp_lon_larg;forme_carapace;pics_carapace;division _rostre;longueur_rostre;largeur_chelipede;longueur_chelipede;forme_pattes;rapport_long_pince_pattes;ornementation_pattes
Mithracidae;Amphithrax;pilosus;1;0;0;[30 - 80];0.9 - 1.2;ovale;presence;2;court;fort;court;massives;meme longueur;presence
Mithracidae;Hemus;cristulipes;1;1;0;[0 - 11];1.2 - 1.6;pentagole;absence;1;court;charnu;court;large;plus courte;presence
Mithracidae;Mithraculus;cinctimanus;1;1;0;[16 - 30];0.9 - 1.2;ovoide;absence;2;court;fort;court;corpulentes;meme longueur;presence
Mithracidae;Mithraculus;coryphe;1;1;0;[16 - 30];0.5 - 0.9;ovale;absence;2;tres court;massif;court;corpulentes;meme longueur;presence
Mithracidae;Mithraculus;forceps;1;1;0;[16 - 30];0.5 - 0.9;arrondie;presence laterale;2;tres court;massif;long;corpulentes;plus longue;presence
Mithracidae;Mithraculus;sculptus;1;1;0;[16 - 30];0.5 - 0.9;ovale;absence;2;tres court;massif;long;corpulentes;plus longue;presence
Mithracidae;Mithrax;hispidus;1;1;0;80 - 125;0.5 - 0.9;arrondie;presence;2;tres court;fort;long;corpulentes;plus longue;presence
Mithracidae;Mithrax;pleuracanthus;1;1;0;[30 - 80];0.9 - 1.2;arrondie;presence laterale;2;tres court;fort;long;corpulentes;plus longue;presence
Mithracidae;Mithrax;tortugae;1;0;0;[16 - 30];0.5 - 0.9;arrondie;presence laterale;2;tres court;fort;long;corpulentes;plus longue;presence
Mithracidae;Nemausa;acuticornis;1;1;0;[16 - 30];0.9 - 1.2;ovoide;presence;2;court;charnu;court;massives;meme longueur;presence
Mithracidae;Nemausa;cornuta;1;1;1;[30 - 80];0.9 - 1.2;ovoide;presence;2;long;charnu;court;corpulentes;meme longueur;presence
Mithracidae;Nemausa;spinipes;1;1;0;[0 - 11];1.2 - 1.6;ovoide;absence;2;long;charnu;court;charnues;plus courte;presence
Mithracidae;Nola;holderi;1;1;0;[16 - 30];0.9 - 1.2;ovoide;absence;2;court;charnu;long;massives;plus longue;presence
Mithracidae;Omalacantha;antillensis;1;1;0;[11 - 16];0.9 - 1.2;ovoide triangulaire;absence;2;court;fort;court;charnues;plus longue;presence
Mithracidae;Omalacantha;bicornuta;1;1;0;[16 - 30];1.2 - 1.6;triangulaire;absence;2;court;charnu;court;charnues;plus longue;presence
Mithracidae;Omalacantha;interrupta;1;1;0;[30 - 80];0 - 0.5;triangulaire;;2;court;charnu;court;charnues;plus longue;presence
Mithracidae;Pitho;lherminieri;1;1;1;[16 - 30];0.9 - 1.2;ovoide;presence laterale;2;tres court;charnu;court;charnues;meme longueur;presence
Mithracidae;Pitho;mirabilis;1;1;0;[16 - 30];0.9 - 1.2;ovoide;presence laterale;2;tres court;charnu;court;charnues;meme longueur;presence
Mithracidae;Pitho;picteti;1;0;0;[16 - 30];0.9 - 1.2;ovoide;presence laterale;2;tres court;;;charnues;;presence
Mithracidae;Teleophrys;ruber;1;1;0;[16 - 30];0.5 - 0.9;ovale;absence;2;tres court;massif;long;corpulentes;plus longue;presence
Mithracidae;Thoe;aspera;1;0;0;[0 - 11];1.2 - 1.6;ovoide;presence laterale;2;court;fort;long;;;
Mithracidae;Thoe;puella;1;1;0;[0 - 11];0.9 - 1.2;ovoide triangulaire;absence;2;court;fort;long;larges;plus longue;presence
